1104	The Hidden Blade	Common	“A crowd can conceal better than a shadow” - The Assassin’s Primer	0	25000	0	0	0	0	12	0	15	0	15	0	0	0		1980	1980	0.4
1105	Guardsman’s Girdle	Common	“Discipline until death” - Imperial garrison pledge	600000	0	16000	0	0	0	3	0	0	15	0	0	5	20		2880	2880	0.4
1106	Jewel Of Valor	Common	"Forged out of volcanic rock, this remarkable jewel is imbued with the power of valor."	400000	8000	12000	0	0	0	0	0	0	0	15	0	0	0		2100	2100	0.4
1201	Simple Kite Shield	Common	A simple shield that offers good protection	500000	0	20000	0	0	0	0	0	0	10	0	0	0	15		2760	2760	0.4
1202	Swordplay Bracers	Common	Strong and flexible. Gets the job done.	200000	15000	0	0	0	0	3	0	0	10	0	0	10	0		1620	1620	0.4
1203	Guardsmen’s Garb	Common	Uniform of the royal garrison. Light and easy to wear.	500000	0	8000	0	0	0	0	0	15	25	0	0	0	10		2160	2160	0.4
1204	Shrine Censer	Common	“Practice asceticism. Open the truth.” - censer inscription	300000	20000	0	0	0	0	0	0	0	0	0	0	5	0		1680	1680	0.4
1205	Ruthless Chopper	Common	“Never give a coward mercy” - First law in the arena of blood	0	15000	4000	0	0	0	0	0	0	0	40	0	5	0		1200	1200	0.4
1206	Jewel Of Determination	Common	"Forged out of volcanic rock, this remarkable jewel is imbued with the power of determination."	500000	4000	10000	0	0	0	0	0	0	10	0	0	0	0		2220	2220	0.4
1304	Fear Mask	Common	Fear is more powerful than faith.	400000	0	15000	0	0	0	0	0	25	10	0	0	0	5		2400	2400	0.4
1305	Traveler’s Boots	Common	Thousands of footprints create a landscape of their own.	700000	0	10000	0	0	0	0	0	0	0	0	50	0	10		2820	2820	0.4
1306	Jewel Of Agility	Common	"Forged out of volcanic rock, this remarkable jewel is imbued with the power of agility."	0	15000	8000	0	0	0	0	0	0	20	0	0	0	5		1500	1500	0.4
1404	Oracle’s Pendant	Common	Anyone can see The Light. Only the devout can hear It speak	0	7000	8000	0	0	0	0	0	10	0	0	25	0	0		1140	1140	0.4
1405	Book of Scholars	Common	Don’t fear the unknown. Seek to know it.	0	30000	2000	0	0	0	0	0	0	0	0	0	10	0		1800	1800	0.4
1406	Jewel Of Wisdom	Common	"Forged out of volcanic rock, this remarkable jewel is imbued with the power of wisdom."	300000	20000	0	0	0	0	0	0	10	0	0	0	0	0		1980	1980	0.4
1504	Poet’s Cup	Common	"A cup holds the wine, the wine holds inspiration."	0	24000	0	0	0	0	0	0	10	0	0	0	15	0		1560	1560	0.4
1505	Apprentice’s Seal	Common	Every master was once an apprentice.	400000	0	10000	0	0	0	0	0	0	30	0	0	0	0		2160	2160	0.4
